LOCALDATE (BEIJING),RVR_1A,MOR_1A,LIGHTS,PAINS (HPA),QNH AERODROME (HPA),QFE R06 (HPA),TEMP (°C),RH (%),DEWPOINT (°C),WS2A (MPS),WD2A,CW2A (MPS)
2020-03-12 08:10:30,3000,3100,100,1017.00,1018.54,1016.98,10.40,84.50,7.92,2.61,82,1.06
2020-03-12 08:10:45,3000,3100,100,1017.00,1018.54,1016.98,10.45,84.75,8.01,2.60,81,1.01
2020-03-12 08:11:00,3000,3100,100,1017.00,1018.54,1016.98,10.50,85.00,8.10,2.59,81,1.01
2020-03-12 08:11:15,3000,3100,100,1017.00,1018.54,1016.98,10.50,84.50,8.02,2.63,82,1.07
2020-03-12 08:11:30,3000,3100,100,1017.00,1018.54,1016.98,10.50,84.00,7.93,2.61,82,1.06
2020-03-12 08:11:45,3000,3100,100,1017.00,1018.54,1016.98,10.50,83.50,7.84,2.56,81,1.00
2020-03-12 08:12:00,3000,3100,100,1017.00,1018.54,1016.98,10.50,83.00,7.76,2.53,79,0.90
2020-03-12 08:12:15,3000,3100,100,1017.00,1018.54,1016.98,10.50,83.00,7.76,2.50,78,0.85
2020-03-12 08:12:30,3000,3200,100,1017.00,1018.54,1016.98,10.50,83.00,7.76,2.44,78,0.84
2020-03-12 08:12:45,3000,3200,100,1017.00,1018.54,1016.98,10.50,83.00,7.76,2.45,80,0.92
2020-03-12 08:13:00,3000,3200,100,1017.00,1018.54,1016.98,10.50,83.00,7.76,2.47,81,0.97
2020-03-12 08:13:15,3000,3200,100,1017.00,1018.54,1016.98,10.53,82.75,7.74,2.49,81,0.97
2020-03-12 08:13:30,3000,3200,100,1017.00,1018.54,1016.98,10.55,82.50,7.72,2.53,81,0.99
2020-03-12 08:13:45,3000,3200,100,1017.00,1018.54,1016.98,10.57,82.25,7.70,2.59,82,1.05
2020-03-12 08:14:00,3000,3200,100,1017.00,1018.54,1016.98,10.60,82.00,7.68,2.64,84,1.16
2020-03-12 08:14:15,3000,3200,100,1017.00,1018.54,1016.98,10.60,82.00,7.68,2.64,84,1.16
2020-03-12 08:14:30,3000,3200,100,1017.00,1018.54,1016.98,10.60,82.00,7.68,2.62,84,1.15
2020-03-12 08:14:45,3000,3200,100,1017.00,1018.54,1016.98,10.60,82.00,7.68,2.58,83,1.09
2020-03-12 08:15:00,3000,3200,100,1017.00,1018.54,1016.98,10.60,82.00,7.68,2.54,82,1.03
2020-03-12 08:15:15,3000,3200,100,1017.02,1018.56,1017.00,10.60,81.50,7.59,2.49,82,1.01
2020-03-12 08:15:30,3000,3200,100,1017.05,1018.59,1017.03,10.60,81.00,7.50,2.38,83,1.01
2020-03-12 08:15:45,3000,3200,100,1017.08,1018.62,1017.06,10.60,80.50,7.41,2.34,84,1.03
2020-03-12 08:16:00,3000,3200,100,1017.10,1018.64,1017.08,10.60,80.00,7.32,2.35,85,1.07
2020-03-12 08:16:15,3000,3100,100,1017.10,1018.64,1017.08,10.62,80.25,7.39,2.37,86,1.11
2020-03-12 08:16:30,3000,3100,100,1017.10,1018.64,1017.08,10.65,80.50,7.46,2.40,86,1.13
2020-03-12 08:16:45,3000,3100,100,1017.10,1018.64,1017.08,10.67,80.75,7.53,2.39,87,1.16
2020-03-12 08:17:00,3000,3100,100,1017.10,1018.64,1017.08,10.70,81.00,7.60,2.40,89,1.24
2020-03-12 08:17:15,3000,3100,100,1017.10,1018.64,1017.08,10.70,80.75,7.55,2.46,91,1.34
2020-03-12 08:17:30,3000,3100,100,1017.10,1018.64,1017.08,10.70,80.50,7.51,2.55,91,1.39
2020-03-12 08:17:45,3000,3100,100,1017.10,1018.64,1017.08,10.70,80.25,7.46,2.58,91,1.41
2020-03-12 08:18:00,3000,3100,100,1017.10,1018.64,1017.08,10.70,80.00,7.42,2.56,91,1.40
2020-03-12 08:18:15,3000,3100,100,1017.10,1018.64,1017.08,10.70,80.00,7.42,2.56,90,1.35
2020-03-12 08:18:30,3000,3200,100,1017.10,1018.64,1017.08,10.70,80.00,7.42,2.54,90,1.34
2020-03-12 08:18:45,3000,3200,100,1017.10,1018.64,1017.08,10.70,80.00,7.42,2.59,91,1.41
2020-03-12 08:19:00,3000,3200,100,1017.10,1018.64,1017.08,10.70,80.00,7.42,2.60,90,1.38
2020-03-12 08:19:15,3000,3200,100,1017.08,1018.62,1017.06,10.72,80.00,7.44,2.62,90,1.39
2020-03-12 08:19:30,3000,3200,100,1017.05,1018.59,1017.03,10.75,80.00,7.46,2.66,89,1.37
2020-03-12 08:19:45,3000,3200,100,1017.02,1018.56,1017.00,10.78,80.00,7.49,2.72,89,1.40
2020-03-12 08:20:00,3000,3200,100,1017.00,1018.54,1016.98,10.80,80.00,7.51,2.79,89,1.43
2020-03-12 08:20:15,3000,3200,100,1017.00,1018.54,1016.98,10.83,80.00,7.54,2.83,89,1.46
2020-03-12 08:20:30,3000,3200,100,1017.00,1018.54,1016.98,10.85,80.00,7.56,2.86,88,1.43
2020-03-12 08:20:45,3000,3200,100,1017.00,1018.54,1016.98,10.88,80.00,7.58,2.85,86,1.34
2020-03-12 08:21:00,3000,3300,100,1017.00,1018.54,1016.98,10.90,80.00,7.61,2.91,85,1.32
2020-03-12 08:21:15,3000,3300,100,1017.00,1018.54,1016.98,10.90,79.75,7.57,2.89,85,1.31
2020-03-12 08:21:30,3000,3200,100,1017.00,1018.54,1016.98,10.90,79.50,7.52,2.85,84,1.25
2020-03-12 08:21:45,3000,3200,100,1017.00,1018.54,1016.98,10.90,79.25,7.47,2.77,83,1.17
2020-03-12 08:22:00,3000,3200,100,1017.00,1018.54,1016.98,10.90,79.00,7.43,2.78,82,1.13
2020-03-12 08:22:15,3000,3200,100,1017.00,1018.54,1016.98,10.95,79.50,7.57,2.76,81,1.08
2020-03-12 08:22:30,3000,3200,100,1017.00,1018.54,1016.98,11.00,80.00,7.71,2.77,81,1.08
2020-03-12 08:22:45,3000,3200,100,1017.00,1018.54,1016.98,11.05,80.50,7.85,2.82,82,1.15
2020-03-12 08:23:00,3000,3200,100,1017.00,1018.54,1016.98,11.10,81.00,7.99,2.84,81,1.11
2020-03-12 08:23:15,3000,3200,100,1017.00,1018.54,1016.98,11.12,81.00,8.02,2.87,80,1.07
2020-03-12 08:23:30,3000,3200,100,1017.00,1018.54,1016.98,11.15,81.00,8.04,2.94,80,1.10
2020-03-12 08:23:45,3000,3200,100,1017.00,1018.54,1016.98,11.17,81.00,8.06,3.00,79,1.07
2020-03-12 08:24:00,3000,3200,100,1017.00,1018.54,1016.98,11.20,81.00,8.09,2.97,78,1.01
2020-03-12 08:24:15,3000,3200,100,1017.00,1018.54,1016.98,11.20,80.50,8.00,2.98,78,1.02
2020-03-12 08:24:30,3000,3200,100,1017.00,1018.54,1016.98,11.20,80.00,7.90,2.99,77,0.97
2020-03-12 08:24:45,3000,3200,100,1017.00,1018.54,1016.98,11.20,79.50,7.81,2.94,77,0.96
2020-03-12 08:25:00,3000,3200,100,1017.00,1018.54,1016.98,11.20,79.00,7.72,2.94,76,0.91
2020-03-12 08:25:15,3000,3200,100,1017.00,1018.54,1016.98,11.22,78.75,7.70,2.91,76,0.90
2020-03-12 08:25:30,3000,3200,100,1017.00,1018.54,1016.98,11.25,78.50,7.67,2.82,76,0.87
2020-03-12 08:25:45,3000,3200,100,1017.00,1018.54,1016.98,11.28,78.25,7.65,2.72,77,0.88
2020-03-12 08:26:00,3000,3200,100,1017.00,1018.54,1016.98,11.30,78.00,7.63,2.65,78,0.90
2020-03-12 08:26:15,3000,3200,100,1017.00,1018.54,1016.98,11.28,78.00,7.61,2.59,78,0.88
2020-03-12 08:26:30,3000,3200,100,1017.00,1018.54,1016.98,11.25,78.00,7.58,2.51,78,0.86
2020-03-12 08:26:45,3000,3200,100,1017.00,1018.54,1016.98,11.22,78.00,7.56,2.46,78,0.84
2020-03-12 08:27:00,3000,3200,100,1017.00,1018.54,1016.98,11.20,78.00,7.54,2.35,78,0.81
2020-03-12 08:27:15,3000,3200,100,1017.00,1018.54,1016.98,11.20,77.50,7.45,2.36,79,0.85
2020-03-12 08:27:30,3000,3200,100,1017.00,1018.54,1016.98,11.20,77.00,7.35,2.40,79,0.86
2020-03-12 08:27:45,3000,3200,100,1017.00,1018.54,1016.98,11.20,76.50,7.25,2.49,78,0.85
2020-03-12 08:28:00,3000,3200,100,1017.00,1018.54,1016.98,11.20,76.00,7.16,2.52,78,0.86
2020-03-12 08:28:15,3000,3200,100,1017.00,1018.54,1016.98,11.27,76.75,7.37,2.56,77,0.83
2020-03-12 08:28:30,3000,3200,100,1017.00,1018.54,1016.98,11.35,77.50,7.58,2.60,77,0.85
2020-03-12 08:28:45,3000,3200,100,1017.00,1018.54,1016.98,11.43,78.25,7.80,2.61,79,0.93
2020-03-12 08:29:00,3000,3300,100,1017.00,1018.54,1016.98,11.50,79.00,8.01,2.57,80,0.96
2020-03-12 08:29:15,3000,3300,100,1017.00,1018.54,1016.98,11.50,78.75,7.96,2.50,80,0.94
2020-03-12 08:29:30,3000,3300,100,1017.00,1018.54,1016.98,11.50,78.50,7.92,2.45,83,1.03
2020-03-12 08:29:45,3000,3300,100,1017.00,1018.54,1016.98,11.50,78.25,7.88,2.45,84,1.08
2020-03-12 08:30:00,3000,3300,100,1017.00,1018.54,1016.98,11.50,78.00,7.83,2.51,83,1.06
2020-03-12 08:30:15,3000,3300,100,1017.00,1018.54,1016.98,11.50,77.00,7.64,2.53,82,1.03
2020-03-12 08:30:30,3000,3400,100,1017.00,1018.54,1016.98,11.50,76.00,7.45,2.50,81,0.98
2020-03-12 08:30:45,3000,3400,100,1017.00,1018.54,1016.98,11.50,75.00,7.25,2.51,77,0.82
2020-03-12 08:31:00,3000,3400,100,1017.00,1018.54,1016.98,11.50,74.00,7.06,2.51,73,0.65
2020-03-12 08:31:15,3000,3500,100,1017.00,1018.54,1016.98,11.47,73.75,6.99,2.48,71,0.56
2020-03-12 08:31:30,3000,3500,100,1017.00,1018.54,1016.98,11.45,73.50,6.91,2.41,71,0.54
2020-03-12 08:31:45,3000,3500,100,1017.00,1018.54,1016.98,11.43,73.25,6.84,2.31,70,0.48
2020-03-12 08:32:00,3000,3500,100,1017.00,1018.54,1016.98,11.40,73.00,6.77,2.30,70,0.48
2020-03-12 08:32:15,3000,3400,100,1017.00,1018.54,1016.98,11.43,73.25,6.84,2.27,70,0.47
2020-03-12 08:32:30,3000,3400,100,1017.00,1018.54,1016.98,11.45,73.50,6.91,2.28,71,0.51
2020-03-12 08:32:45,3000,3400,100,1017.00,1018.54,1016.98,11.47,73.75,6.99,2.31,73,0.60
2020-03-12 08:33:00,3000,3500,100,1017.00,1018.54,1016.98,11.50,74.00,7.06,2.32,75,0.68
2020-03-12 08:33:15,3000,3500,100,1017.02,1018.56,1017.00,11.50,74.00,7.06,2.33,75,0.68
2020-03-12 08:33:30,3000,3600,100,1017.05,1018.59,1017.03,11.50,74.00,7.06,2.35,73,0.61
2020-03-12 08:33:45,3000,3600,100,1017.08,1018.62,1017.06,11.50,74.00,7.06,2.28,74,0.63
2020-03-12 08:34:00,3000,3600,100,1017.10,1018.64,1017.08,11.50,74.00,7.06,2.15,76,0.67
2020-03-12 08:34:15,3000,3600,100,1017.10,1018.64,1017.08,11.53,74.00,7.08,2.12,78,0.73
2020-03-12 08:34:30,3000,3500,100,1017.10,1018.64,1017.08,11.55,74.00,7.11,2.01,81,0.79
2020-03-12 08:34:45,3000,3500,100,1017.10,1018.64,1017.08,11.57,74.00,7.13,1.97,83,0.83
2020-03-12 08:35:00,3000,3500,100,1017.10,1018.64,1017.08,11.60,74.00,7.16,2.01,87,0.98
2020-03-12 08:35:15,3000,3400,100,1017.10,1018.64,1017.08,11.65,74.25,7.26,2.00,89,1.03
2020-03-12 08:35:30,3000,3400,100,1017.10,1018.64,1017.08,11.70,74.50,7.36,2.08,90,1.10
2020-03-12 08:35:45,3000,3400,100,1017.10,1018.64,1017.08,11.75,74.75,7.45,2.21,89,1.14
2020-03-12 08:36:00,3000,3500,100,1017.10,1018.64,1017.08,11.80,75.00,7.55,2.33,88,1.17
2020-03-12 08:36:15,3000,3500,100,1017.08,1018.62,1017.06,11.85,75.50,7.70,2.47,88,1.23
2020-03-12 08:36:30,3000,3500,100,1017.05,1018.59,1017.03,11.90,76.00,7.84,2.66,86,1.25
2020-03-12 08:36:45,3000,3500,100,1017.02,1018.56,1017.00,11.95,76.50,7.99,2.78,85,1.26
2020-03-12 08:37:00,3000,3400,100,1017.00,1018.54,1016.98,12.00,77.00,8.13,2.83,83,1.20
2020-03-12 08:37:15,3000,3400,100,1017.00,1018.54,1016.98,12.00,76.25,7.99,2.95,82,1.20
2020-03-12 08:37:30,3000,3400,100,1017.00,1018.54,1016.98,12.00,75.50,7.84,2.92,82,1.19
2020-03-12 08:37:45,3000,3400,100,1017.00,1018.54,1016.98,12.00,74.75,7.70,2.79,83,1.18
2020-03-12 08:38:00,3000,3400,100,1017.00,1018.54,1016.98,12.00,74.00,7.55,2.61,83,1.10
2020-03-12 08:38:15,3000,3400,100,1017.00,1018.54,1016.98,11.95,73.50,7.40,2.33,85,1.06
2020-03-12 08:38:30,3000,3500,100,1017.00,1018.54,1016.98,11.90,73.00,7.25,2.08,86,0.98
2020-03-12 08:38:45,3000,3500,100,1017.00,1018.54,1016.98,11.85,72.50,7.10,1.89,85,0.86
2020-03-12 08:39:00,3000,3400,100,1017.00,1018.54,1016.98,11.80,72.00,6.95,1.80,88,0.90
2020-03-12 08:39:15,3000,3400,100,1017.02,1018.56,1017.00,11.83,72.25,7.03,1.75,90,0.92
2020-03-12 08:39:30,3000,3400,100,1017.05,1018.59,1017.03,11.85,72.50,7.10,1.78,92,1.00
2020-03-12 08:39:45,3000,3400,100,1017.08,1018.62,1017.06,11.88,72.75,7.17,1.85,93,1.06
2020-03-12 08:40:00,3000,3400,100,1017.10,1018.64,1017.08,11.90,73.00,7.25,1.96,94,1.15
2020-03-12 08:40:15,3000,3400,100,1017.10,1018.64,1017.08,11.93,73.25,7.33,2.02,94,1.19
2020-03-12 08:40:30,3000,3400,100,1017.10,1018.64,1017.08,11.95,73.50,7.40,2.06,93,1.18
2020-03-12 08:40:45,3000,3400,100,1017.10,1018.64,1017.08,11.97,73.75,7.47,2.03,93,1.16
2020-03-12 08:41:00,3000,3400,100,1017.10,1018.64,1017.08,12.00,74.00,7.55,1.96,93,1.13
2020-03-12 08:41:15,3000,3400,100,1017.10,1018.64,1017.08,11.97,73.50,7.42,1.95,91,1.06
2020-03-12 08:41:30,3000,3400,100,1017.10,1018.64,1017.08,11.95,73.00,7.30,1.89,90,1.00
2020-03-12 08:41:45,3000,3400,100,1017.10,1018.64,1017.08,11.93,72.50,7.17,1.86,89,0.96
2020-03-12 08:42:00,3000,3400,100,1017.10,1018.64,1017.08,11.90,72.00,7.05,1.78,89,0.92
2020-03-12 08:42:15,3000,3400,100,1017.10,1018.64,1017.08,11.93,72.00,7.08,1.76,88,0.88
2020-03-12 08:42:30,3000,3400,100,1017.10,1018.64,1017.08,11.95,72.00,7.10,1.75,90,0.93
2020-03-12 08:42:45,3000,3400,100,1017.10,1018.64,1017.08,11.97,72.00,7.12,1.73,91,0.94
2020-03-12 08:43:00,3000,3400,100,1017.10,1018.64,1017.08,12.00,72.00,7.15,1.68,92,0.94
2020-03-12 08:43:15,3000,3300,100,1017.12,1018.66,1017.11,12.00,72.25,7.20,1.63,92,0.91
2020-03-12 08:43:30,3000,3300,100,1017.15,1018.69,1017.13,12.00,72.50,7.25,1.60,91,0.87
2020-03-12 08:43:45,3000,3400,100,1017.18,1018.72,1017.15,12.00,72.75,7.30,1.55,89,0.80
2020-03-12 08:44:00,3000,3400,100,1017.20,1018.74,1017.18,12.00,73.00,7.35,1.49,90,0.79
2020-03-12 08:44:15,3000,3400,100,1017.20,1018.74,1017.18,12.03,73.00,7.37,1.43,87,0.69
2020-03-12 08:44:30,3000,3400,100,1017.20,1018.74,1017.18,12.05,73.00,7.39,1.48,87,0.72
2020-03-12 08:44:45,3000,3400,100,1017.20,1018.74,1017.18,12.07,73.00,7.42,1.60,84,0.70
2020-03-12 08:45:00,3000,3400,100,1017.20,1018.74,1017.18,12.10,73.00,7.44,1.72,80,0.64
2020-03-12 08:45:15,3000,3400,100,1017.18,1018.72,1017.15,12.12,73.00,7.46,1.78,78,0.61
2020-03-12 08:45:30,3000,3400,100,1017.15,1018.69,1017.13,12.15,73.00,7.49,1.85,77,0.60
2020-03-12 08:45:45,3000,3400,100,1017.12,1018.66,1017.11,12.17,73.00,7.52,1.93,76,0.59
2020-03-12 08:46:00,3000,3400,100,1017.10,1018.64,1017.08,12.20,73.00,7.54,2.02,76,0.62
2020-03-12 08:46:15,3000,3400,100,1017.10,1018.64,1017.08,12.20,73.25,7.59,2.13,78,0.73
2020-03-12 08:46:30,3000,3300,100,1017.10,1018.64,1017.08,12.20,73.50,7.64,2.12,77,0.69
2020-03-12 08:46:45,3000,3300,100,1017.10,1018.64,1017.08,12.20,73.75,7.69,2.12,76,0.65
2020-03-12 08:47:00,3000,3300,100,1017.10,1018.64,1017.08,12.20,74.00,7.74,2.19,78,0.75
2020-03-12 08:47:15,3000,3300,100,1017.10,1018.64,1017.08,12.20,74.00,7.74,2.24,81,0.88
2020-03-12 08:47:30,3000,3300,100,1017.10,1018.64,1017.08,12.20,74.00,7.74,2.25,84,0.99
2020-03-12 08:47:45,3000,3300,100,1017.10,1018.64,1017.08,12.20,74.00,7.74,2.22,86,1.04
2020-03-12 08:48:00,3000,3400,100,1017.10,1018.64,1017.08,12.20,74.00,7.74,2.18,85,0.99
2020-03-12 08:48:15,3000,3400,100,1017.08,1018.62,1017.06,12.20,74.00,7.74,2.16,87,1.05
2020-03-12 08:48:30,3000,3500,100,1017.05,1018.59,1017.03,12.20,74.00,7.74,2.24,89,1.15
2020-03-12 08:48:45,3000,3500,100,1017.02,1018.56,1017.00,12.20,74.00,7.74,2.25,91,1.22
2020-03-12 08:49:00,3000,3500,100,1017.00,1018.54,1016.98,12.20,74.00,7.74,2.12,90,1.12
2020-03-12 08:49:15,3000,3500,100,1017.00,1018.54,1016.98,12.20,73.25,7.59,1.99,88,0.99
2020-03-12 08:49:30,3000,3500,100,1017.00,1018.54,1016.98,12.20,72.50,7.44,1.92,87,0.93
2020-03-12 08:49:45,3000,3500,100,1017.00,1018.54,1016.98,12.20,71.75,7.29,1.89,84,0.83
2020-03-12 08:50:00,3000,3500,100,1017.00,1018.54,1016.98,12.20,71.00,7.14,1.93,82,0.79
2020-03-12 08:50:15,3000,3500,100,1017.00,1018.54,1016.98,12.22,71.50,7.26,1.98,80,0.74
2020-03-12 08:50:30,3000,3500,100,1017.00,1018.54,1016.98,12.25,72.00,7.39,1.96,80,0.73
2020-03-12 08:50:45,3000,3400,100,1017.00,1018.54,1016.98,12.28,72.50,7.51,1.88,82,0.76
2020-03-12 08:51:00,3000,3400,100,1017.00,1018.54,1016.98,12.30,73.00,7.64,1.85,83,0.78
2020-03-12 08:51:15,3000,3400,100,1017.00,1018.54,1016.98,12.30,72.75,7.59,1.78,85,0.81
2020-03-12 08:51:30,3000,3500,100,1017.00,1018.54,1016.98,12.30,72.50,7.54,1.67,89,0.86
2020-03-12 08:51:45,3000,3500,100,1017.00,1018.54,1016.98,12.30,72.25,7.49,1.73,91,0.94
2020-03-12 08:52:00,3000,3500,100,1017.00,1018.54,1016.98,12.30,72.00,7.44,1.78,94,1.04
2020-03-12 08:52:15,3000,3500,100,1017.02,1018.56,1017.00,12.33,71.75,7.41,1.73,97,1.09
2020-03-12 08:52:30,3000,3500,100,1017.05,1018.59,1017.03,12.35,71.50,7.38,1.69,98,1.08
2020-03-12 08:52:45,3000,3500,100,1017.08,1018.62,1017.06,12.38,71.25,7.36,1.71,101,1.17
2020-03-12 08:53:00,3000,3500,100,1017.10,1018.64,1017.08,12.40,71.00,7.33,1.76,105,1.29
2020-03-12 08:53:15,3000,3500,100,1017.10,1018.64,1017.08,12.45,71.00,7.38,1.83,109,1.42
2020-03-12 08:53:30,3000,3500,100,1017.10,1018.64,1017.08,12.50,71.00,7.42,1.89,107,1.42
2020-03-12 08:53:45,3000,3500,100,1017.10,1018.64,1017.08,12.55,71.00,7.47,1.82,108,1.39
2020-03-12 08:54:00,3000,3500,100,1017.10,1018.64,1017.08,12.60,71.00,7.52,1.68,108,1.29
2020-03-12 08:54:15,3000,3600,100,1017.10,1018.64,1017.08,12.65,71.00,7.57,1.61,107,1.21
2020-03-12 08:54:30,3000,3600,100,1017.10,1018.64,1017.08,12.70,71.00,7.62,1.64,104,1.18
2020-03-12 08:54:45,3000,3600,100,1017.10,1018.64,1017.08,12.75,71.00,7.67,1.69,100,1.13
2020-03-12 08:55:00,3000,3600,100,1017.10,1018.64,1017.08,12.80,71.00,7.72,1.70,95,1.02
2020-03-12 08:55:15,3000,3500,100,1017.10,1018.64,1017.08,12.80,70.75,7.67,1.76,91,0.96
2020-03-12 08:55:30,3000,3500,100,1017.10,1018.64,1017.08,12.80,70.50,7.62,1.78,90,0.94
2020-03-12 08:55:45,3000,3500,100,1017.10,1018.64,1017.08,12.80,70.25,7.56,1.81,90,0.96
2020-03-12 08:56:00,3000,3500,100,1017.10,1018.64,1017.08,12.80,70.00,7.51,1.89,93,1.08
2020-03-12 08:56:15,3000,3600,100,1017.10,1018.64,1017.08,12.80,69.75,7.46,1.96,94,1.15
2020-03-12 08:56:30,3000,3600,100,1017.10,1018.64,1017.08,12.80,69.50,7.40,1.93,97,1.21
2020-03-12 08:56:45,3000,3600,100,1017.10,1018.64,1017.08,12.80,69.25,7.35,1.85,98,1.19
2020-03-12 08:57:00,3000,3600,100,1017.10,1018.64,1017.08,12.80,69.00,7.30,1.80,100,1.20
2020-03-12 08:57:15,3000,3600,100,1017.10,1018.64,1017.08,12.78,69.00,7.28,1.74,100,1.17
2020-03-12 08:57:30,3000,3600,100,1017.10,1018.64,1017.08,12.75,69.00,7.25,1.73,102,1.20
2020-03-12 08:57:45,3000,3600,100,1017.10,1018.64,1017.08,12.72,69.00,7.22,1.65,101,1.13
2020-03-12 08:58:00,3000,3600,100,1017.10,1018.64,1017.08,12.70,69.00,7.20,1.61,97,1.01
2020-03-12 08:58:15,3000,3600,100,1017.10,1018.64,1017.08,12.72,68.75,7.17,1.57,94,0.92
2020-03-12 08:58:30,3000,3600,100,1017.10,1018.64,1017.08,12.75,68.50,7.14,1.54,91,0.84
2020-03-12 08:58:45,3000,3600,100,1017.10,1018.64,1017.08,12.78,68.25,7.12,1.53,89,0.79
2020-03-12 08:59:00,3000,3600,100,1017.10,1018.64,1017.08,12.80,68.00,7.09,1.56,87,0.76
