LOCALDATE (BEIJING),SITE,PAINS (HPA),QNH AERODROME (HPA),ST,QFE R06 (HPA),ST,QFE R24 (HPA),ST,QFF AERODROME (HPA),TREND,TENDENCY,TEMP (°C),RH (%),DEWPOINT (°C),TU DATA
2020/3/12 08:54:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.66,0.4,3,12.6,71,7.52,  12.6    71 5020
2020/3/12 08:55:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.66,0.21,3,12.8,71,7.72,  12.8    71 CE31
2020/3/12 08:56:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.66,0.21,3,12.8,70,7.51,  12.8    70 FD00
2020/3/12 08:57:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.66,0.21,3,12.8,69,7.3,  12.8    69 70A8
2020/3/12 08:58:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.66,0.21,3,12.7,69,7.2,  12.7    69 A96A
2020/3/12 08:59:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.66,0.21,3,12.8,68,7.09,  12.8    68 4399
2020/3/12 09:00:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.66,0.21,3,12.7,67,6.78,  12.7    67 8A65
2020/3/12 09:01:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.66,0.21,3,12.8,68,7.09,  12.8    68 4399
2020/3/12 09:02:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.66,0.21,3,13,70,7.7,  13.0    70 8C9F
2020/3/12 09:03:00,R06,1017.2,1018.74, ,1017.18, ,1017.35, ,1018.76,0.21,3,13,67,7.07,  13.0    67 2238
2020/3/12 09:04:00,R06,1017.2,1018.74, ,1017.18, ,1017.35, ,1018.75,0.21,3,13.1,68,7.38,  13.1    68 75D5
2020/3/12 09:05:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.65,0.21,3,13,68,7.28,  13.0    68 3206
2020/3/12 09:06:00,R06,1017.2,1018.74, ,1017.18, ,1017.35, ,1018.75,0.21,3,12.9,66,6.75,  12.9    66 2745
2020/3/12 09:07:00,R06,1017.2,1018.74, ,1017.18, ,1017.35, ,1018.75,0.21,3,12.9,67,6.97,  12.9    67 1474
2020/3/12 09:08:00,R06,1017.2,1018.74, ,1017.18, ,1017.35, ,1018.75,0.21,3,12.9,67,6.97,  12.9    67 1474
2020/3/12 09:09:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.65,0.21,3,13,67,7.07,  13.0    67 2238
2020/3/12 09:10:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.65,0.21,3,13.1,67,7.16,  13.1    67 65EB
2020/3/12 09:11:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.65,0.21,3,13.2,67,7.26,  13.2    67 AD9E
2020/3/12 09:12:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.65,0.21,3,13.3,67,7.35,  13.3    67 EA4D
2020/3/12 09:13:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.65,0.21,3,13.3,67,7.35,  13.3    67 EA4D
2020/3/12 09:14:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.65,0.21,3,13.3,66,7.13,  13.3    66 D97C
2020/3/12 09:15:00,R06,1017.2,1018.74, ,1017.18, ,1017.35, ,1018.75,0.61,3,13.3,66,7.13,  13.3    66 D97C
2020/3/12 09:16:00,R06,1017.2,1018.74, ,1017.18, ,1017.35, ,1018.75,0.61,3,13.4,67,7.45,  13.4    67 2D55
2020/3/12 09:17:00,R06,1017.2,1018.74, ,1017.18, ,1017.35, ,1018.75,0.61,3,13.5,66,7.33,  13.5    66 59B7
2020/3/12 09:18:00,R06,1017.2,1018.74, ,1017.18, ,1017.35, ,1018.75,0.61,3,13.6,64,6.97,  13.6    64 F7A0
2020/3/12 09:19:00,R06,1017.2,1018.74, ,1017.18, ,1017.35, ,1018.75,0.61,3,13.6,65,7.2,  13.6    65 C491
2020/3/12 09:20:00,R06,1017.2,1018.74, ,1017.18, ,1017.35, ,1018.75,0.61,3,13.6,63,6.75,  13.6    63 6E37
2020/3/12 09:21:00,R06,1017.2,1018.74, ,1017.18, ,1017.35, ,1018.75,0.61,3,13.6,64,6.97,  13.6    64 F7A0
2020/3/12 09:22:00,R06,1017.2,1018.74, ,1017.18, ,1017.35, ,1018.75,0.61,3,13.7,64,7.07,  13.7    64 B073
2020/3/12 09:23:00,R06,1017.2,1018.74, ,1017.18, ,1017.35, ,1018.75,0.61,3,13.9,64,7.26,  13.9    64 2E62
2020/3/12 09:24:00,R06,1017.2,1018.74, ,1017.18, ,1017.35, ,1018.75,0.61,3,13.9,63,7.03,  13.9    63 B7F5
2020/3/12 09:25:00,R06,1017.2,1018.74, ,1017.18, ,1017.35, ,1018.75,0.51,3,13.9,63,7.03,  13.9    63 B7F5
2020/3/12 09:26:00,R06,1017.2,1018.74, ,1017.18, ,1017.35, ,1018.75,0.51,3,14,62,6.9,  14.0    62 C137
2020/3/12 09:27:00,R06,1017.3,1018.84, ,1017.28, ,1017.45, ,1018.85,0.51,3,14.2,64,7.55,  14.2    64 E437
2020/3/12 09:28:00,R06,1017.3,1018.84, ,1017.28, ,1017.45, ,1018.85,0.51,3,14.2,64,7.55,  14.2    64 E437
2020/3/12 09:29:00,R06,1017.3,1018.84, ,1017.28, ,1017.45, ,1018.85,0.51,3,14.1,63,7.22,  14.1    63 B5D5
2020/3/12 09:30:00,R06,1017.2,1018.74, ,1017.18, ,1017.35, ,1018.75,0.51,3,14.2,64,7.55,  14.2    64 E437
2020/3/12 09:31:00,R06,1017.2,1018.74, ,1017.18, ,1017.35, ,1018.75,0.51,3,14.2,63,7.32,  14.2    63 7DA0
2020/3/12 09:32:00,R06,1017.2,1018.74, ,1017.18, ,1017.34, ,1018.75,0.51,3,14.2,63,7.32,  14.2    63 7DA0
2020/3/12 09:33:00,R06,1017.2,1018.74, ,1017.18, ,1017.34, ,1018.75,0.51,3,14.2,63,7.32,  14.2    63 7DA0
2020/3/12 09:34:00,R06,1017.2,1018.74, ,1017.18, ,1017.34, ,1018.75,0.51,3,14.2,61,6.85,  14.2    61 1BC2
2020/3/12 09:35:00,R06,1017.3,1018.84, ,1017.28, ,1017.44, ,1018.85,0.61,2,14.2,63,7.32,  14.2    63 7DA0
2020/3/12 09:36:00,R06,1017.3,1018.84, ,1017.28, ,1017.44, ,1018.85,0.61,2,14.2,62,7.09,  14.2    62 4E91
2020/3/12 09:37:00,R06,1017.3,1018.84, ,1017.28, ,1017.44, ,1018.85,0.61,2,14.2,61,6.85,  14.2    61 1BC2
2020/3/12 09:38:00,R06,1017.2,1018.74, ,1017.18, ,1017.34, ,1018.75,0.61,2,14.4,62,7.28,  14.4    62 CE5A
2020/3/12 09:39:00,R06,1017.2,1018.74, ,1017.18, ,1017.34, ,1018.75,0.61,2,14.4,61,7.04,  14.4    61 9B09
2020/3/12 09:40:00,R06,1017.2,1018.74, ,1017.18, ,1017.34, ,1018.74,0.61,2,14.4,60,6.8,  14.4    60 A838
2020/3/12 09:41:00,R06,1017.1,1018.64, ,1017.08, ,1017.24, ,1018.64,0.61,2,14.4,61,7.04,  14.4    61 9B09
2020/3/12 09:42:00,R06,1017.1,1018.64, ,1017.08, ,1017.24, ,1018.64,0.61,2,14.5,61,7.13,  14.5    61 DCDA
2020/3/12 09:43:00,R06,1017.1,1018.64, ,1017.08, ,1017.24, ,1018.64,0.61,2,14.5,61,7.13,  14.5    61 DCDA
2020/3/12 09:44:00,R06,1017.2,1018.74, ,1017.18, ,1017.34, ,1018.74,0.61,2,14.5,60,6.9,  14.5    60 EFEB
2020/3/12 09:45:00,R06,1017.2,1018.74, ,1017.18, ,1017.34, ,1018.74,0.61,1,14.7,61,7.32,  14.7    61 537C
2020/3/12 09:46:00,R06,1017.2,1018.74, ,1017.18, ,1017.34, ,1018.74,0.61,1,14.7,61,7.32,  14.7    61 537C
2020/3/12 09:47:00,R06,1017.2,1018.74, ,1017.18, ,1017.34, ,1018.74,0.61,1,14.7,60,7.08,  14.7    60 604D
2020/3/12 09:48:00,R06,1017.1,1018.64, ,1017.08, ,1017.24, ,1018.64,0.61,1,14.7,60,7.08,  14.7    60 604D
2020/3/12 09:49:00,R06,1017.1,1018.64, ,1017.08, ,1017.24, ,1018.64,0.61,1,14.9,62,7.75,  14.9    62 983E
2020/3/12 09:50:00,R06,1017.1,1018.64, ,1017.08, ,1017.24, ,1018.64,0.61,1,15,61,7.61,  15.0    61 FB21
2020/3/12 09:51:00,R06,1017,1018.54, ,1016.98, ,1017.14, ,1018.54,0.61,1,15.2,62,8.04,  15.2    62 21D4
2020/3/12 09:52:00,R06,1017,1018.54, ,1016.98, ,1017.14, ,1018.54,0.61,1,15,59,7.12,  15.0    59 2BD8
2020/3/12 09:53:00,R06,1017,1018.54, ,1016.98, ,1017.14, ,1018.54,0.61,1,15,60,7.37,  15.0    60 C810
2020/3/12 09:54:00,R06,1017,1018.54, ,1016.98, ,1017.14, ,1018.54,0.61,1,14.9,59,7.03,  14.9    59 1D94
2020/3/12 09:55:00,R06,1017,1018.54, ,1016.98, ,1017.14, ,1018.54,0.51,0,15,60,7.37,  15.0    60 C810
2020/3/12 09:56:00,R06,1017,1018.54, ,1016.98, ,1017.14, ,1018.54,0.51,0,15,59,7.12,  15.0    59 2BD8
2020/3/12 09:57:00,R06,1017,1018.54, ,1016.98, ,1017.14, ,1018.54,0.51,0,15,60,7.37,  15.0    60 C810
2020/3/12 09:58:00,R06,1017,1018.54, ,1016.98, ,1017.14, ,1018.54,0.51,0,15.1,59,7.22,  15.1    59 6C0B
2020/3/12 09:59:00,R06,1017,1018.54, ,1016.98, ,1017.14, ,1018.54,0.51,0,15.2,59,7.31,  15.2    59 A47E
2020/3/12 10:00:00,R06,1017.1,1018.64, ,1017.08, ,1017.24, ,1018.64,0.51,0,15.5,59,7.6,  15.5    59 6366
2020/3/12 10:01:00,R06,1017.1,1018.64, ,1017.08, ,1017.24, ,1018.64,0.51,0,15.6,58,7.44,  15.6    58 9822
2020/3/12 10:02:00,R06,1017,1018.54, ,1016.98, ,1017.14, ,1018.54,0.51,0,15.6,57,7.19,  15.6    57 881C
2020/3/12 10:03:00,R06,1017,1018.54, ,1016.98, ,1017.14, ,1018.54,0.51,0,15.6,56,6.93,  15.6    56 BB2D
2020/3/12 10:04:00,R06,1017,1018.54, ,1016.98, ,1017.14, ,1018.54,0.51,0,15.5,56,6.84,  15.5    56 7358
2020/3/12 10:05:00,R06,1017,1018.54, ,1016.98, ,1017.14, ,1018.54,0.51,0,15.6,57,7.19,  15.6    57 881C
2020/3/12 10:06:00,R06,1017,1018.54, ,1016.98, ,1017.14, ,1018.54,0.51,0,15.8,57,7.38,  15.8    57 160D
2020/3/12 10:07:00,R06,1017.1,1018.64, ,1017.08, ,1017.24, ,1018.64,0.51,0,16,58,7.82,  16.0    58 A926
2020/3/12 10:08:00,R06,1017.1,1018.64, ,1017.08, ,1017.24, ,1018.64,0.51,0,16.3,57,7.85,  16.3    57 716D
2020/3/12 10:09:00,R06,1017.1,1018.64, ,1017.08, ,1017.24, ,1018.64,0.51,0,16.5,55,7.52,  16.5    55 97C4
2020/3/12 10:10:00,R06,1017.1,1018.64, ,1017.08, ,1017.24, ,1018.64,0.51,0,16.6,54,7.34,  16.6    54 6C80
2020/3/12 10:11:00,R06,1017.1,1018.64, ,1017.08, ,1017.24, ,1018.64,0.51,0,16.7,53,7.17,  16.7    53 B2C4
2020/3/12 10:12:00,R06,1017.1,1018.64, ,1017.08, ,1017.24, ,1018.64,0.51,0,16.5,52,6.7,  16.5    52 0E53
2020/3/12 10:13:00,R06,1017.1,1018.64, ,1017.08, ,1017.24, ,1018.64,0.51,0,16.7,56,7.97,  16.7    56 4D31
2020/3/12 10:14:00,R06,1017.1,1018.64, ,1017.08, ,1017.24, ,1018.64,0.51,0,17,55,7.99,  17.0    55 B03F
2020/3/12 10:15:00,R06,1017.2,1018.74, ,1017.18, ,1017.34, ,1018.74,0.51,1,16.9,52,7.08,  16.9    52 1FE4
2020/3/12 10:16:00,R06,1017.2,1018.74, ,1017.18, ,1017.34, ,1018.74,0.51,1,16.9,53,7.35,  16.9    53 2CD5
2020/3/12 10:17:00,R06,1017.1,1018.64, ,1017.08, ,1017.24, ,1018.64,0.51,1,16.9,53,7.35,  16.9    53 2CD5
2020/3/12 10:18:00,R06,1017.1,1018.64, ,1017.08, ,1017.24, ,1018.64,0.51,1,17.1,54,7.81,  17.1    54 C4DD
2020/3/12 10:19:00,R06,1017.1,1018.64, ,1017.08, ,1017.24, ,1018.63,0.51,1,17.1,54,7.81,  17.1    54 C4DD
2020/3/12 10:20:00,R06,1017,1018.54, ,1016.98, ,1017.14, ,1018.53,0.51,1,17.1,53,7.54,  17.1    53 5D4A
2020/3/12 10:21:00,R06,1017,1018.54, ,1016.98, ,1017.14, ,1018.53,0.51,1,17,53,7.45,  17.0    53 1A99
2020/3/12 10:22:00,R06,1017,1018.54, ,1016.98, ,1017.14, ,1018.53,0.51,1,17,53,7.45,  17.0    53 1A99
2020/3/12 10:23:00,R06,1017,1018.54, ,1016.98, ,1017.14, ,1018.54,0.51,1,17.1,54,7.81,  17.1    54 C4DD
2020/3/12 10:24:00,R06,1017,1018.54, ,1016.98, ,1017.14, ,1018.54,0.51,1,17.1,54,7.81,  17.1    54 C4DD
2020/3/12 10:25:00,R06,1017,1018.54, ,1016.98, ,1017.14, ,1018.54,0.21,0,17.2,53,7.63,  17.2    53 953F
2020/3/12 10:26:00,R06,1016.9,1018.44, ,1016.88, ,1017.04, ,1018.44,0.21,0,17.7,56,8.91,  17.7    56 2274
2020/3/12 10:27:00,R06,1016.9,1018.44, ,1016.88, ,1017.04, ,1018.43,0.21,0,17.7,51,7.54,  17.7    51 BBE3
2020/3/12 10:28:00,R06,1016.9,1018.44, ,1016.88, ,1017.04, ,1018.43,0.21,0,17.7,52,7.82,  17.7    52 EEB0
2020/3/12 10:29:00,R06,1016.9,1018.44, ,1016.88, ,1017.04, ,1018.43,0.21,0,17.8,52,7.92,  17.8    52 3772
2020/3/12 10:30:00,R06,1016.9,1018.44, ,1016.88, ,1017.04, ,1018.43,0.21,0,17.8,51,7.63,  17.8    51 6221
2020/3/12 10:31:00,R06,1016.9,1018.44, ,1016.88, ,1017.04, ,1018.43,0.21,0,17.9,51,7.73,  17.9    51 25F2
2020/3/12 10:32:00,R06,1016.8,1018.34, ,1016.78, ,1016.94, ,1018.33,0.21,0,18,49,7.24,  18.0    49 94D3
2020/3/12 10:33:00,R06,1016.8,1018.34, ,1016.78, ,1016.94, ,1018.33,0.21,0,18.1,48,7.03,  18.1    48 E031
2020/3/12 10:34:00,R06,1016.8,1018.34, ,1016.78, ,1016.94, ,1018.33,0.21,0,17.9,47,6.54,  17.9    47 B864
2020/3/12 10:35:00,R06,1016.8,1018.34, ,1016.78, ,1016.94, ,1018.33,-0.09,0,17.9,47,6.54,  17.9    47 B864
2020/3/12 10:36:00,R06,1016.9,1018.45, ,1016.88, ,1017.04, ,1018.43,-0.09,0,18,47,6.63,  18.0    47 B7DC
2020/3/12 10:37:00,R06,1016.9,1018.45, ,1016.88, ,1017.04, ,1018.43,-0.09,0,18.2,47,6.82,  18.2    47 387A
2020/3/12 10:38:00,R06,1016.9,1018.45, ,1016.88, ,1017.04, ,1018.43,-0.09,0,18.2,47,6.82,  18.2    47 387A
2020/3/12 10:39:00,R06,1016.9,1018.45, ,1016.88, ,1017.04, ,1018.43,-0.09,0,18.2,46,6.51,  18.2    46 0B4B
2020/3/12 10:40:00,R06,1016.8,1018.34, ,1016.78, ,1016.94, ,1018.33,-0.09,0,18.1,46,6.41,  18.1    46 C33E
2020/3/12 10:41:00,R06,1016.8,1018.35, ,1016.78, ,1016.94, ,1018.33,-0.09,0,18.1,47,6.73,  18.1    47 F00F
2020/3/12 10:42:00,R06,1016.8,1018.35, ,1016.78, ,1016.94, ,1018.33,-0.09,0,18.4,47,7,  18.4    47 B8B1
2020/3/12 10:43:00,R06,1016.8,1018.35, ,1016.78, ,1016.94, ,1018.33,-0.09,0,18.5,46,6.78,  18.5    46 CC53
2020/3/12 10:44:00,R06,1016.8,1018.35, ,1016.78, ,1016.94, ,1018.33,-0.09,0,18.5,46,6.78,  18.5    46 CC53
2020/3/12 10:45:00,R06,1016.8,1018.35, ,1016.78, ,1016.94, ,1018.33,-0.09,0,18.4,46,6.69,  18.4    46 8B80
2020/3/12 10:46:00,R06,1016.8,1018.35, ,1016.78, ,1016.94, ,1018.33,-0.09,0,18.7,46,6.97,  18.7    46 43F5
2020/3/12 10:47:00,R06,1016.7,1018.25, ,1016.68, ,1016.84, ,1018.23,-0.09,0,18.8,46,7.06,  18.8    46 9A37
2020/3/12 10:48:00,R06,1016.7,1018.25, ,1016.68, ,1016.84, ,1018.23,-0.09,0,18.9,47,7.46,  18.9    47 EED5
2020/3/12 10:49:00,R06,1016.6,1018.15, ,1016.58, ,1016.74, ,1018.13,-0.09,0,18.9,46,7.15,  18.9    46 DDE4
2020/3/12 10:50:00,R06,1016.6,1018.15, ,1016.58, ,1016.74, ,1018.13,-0.09,0,18.7,45,6.65,  18.7    45 16A6
2020/3/12 10:51:00,R06,1016.6,1018.15, ,1016.58, ,1016.74, ,1018.13,-0.09,0,18.7,47,7.28,  18.7    47 70C4
2020/3/12 10:52:00,R06,1016.5,1018.05, ,1016.48, ,1016.64, ,1018.03,-0.09,0,18.9,45,6.83,  18.9    45 88B7
2020/3/12 10:53:00,R06,1016.5,1018.05, ,1016.48, ,1016.64, ,1018.03,-0.09,0,18.9,46,7.15,  18.9    46 DDE4
2020/3/12 10:54:00,R06,1016.5,1018.05, ,1016.48, ,1016.64, ,1018.03,-0.09,0,19,46,7.24,  19.0    46 EBA8
2020/3/12 10:55:00,R06,1016.5,1018.05, ,1016.48, ,1016.64, ,1018.02,-0.39,8,19,44,6.6,  19.0    44 8DCA
2020/3/12 10:56:00,R06,1016.5,1018.05, ,1016.48, ,1016.64, ,1018.02,-0.39,8,18.9,42,5.84,  18.9    42 1120
2020/3/12 10:57:00,R06,1016.5,1018.05, ,1016.48, ,1016.64, ,1018.02,-0.39,8,19,43,6.27,  19.0    43 145D
2020/3/12 10:58:00,R06,1016.5,1018.05, ,1016.48, ,1016.64, ,1018.02,-0.39,8,19,43,6.27,  19.0    43 145D
2020/3/12 10:59:00,R06,1016.5,1018.05, ,1016.48, ,1016.64, ,1018.02,-0.39,8,19,42,5.93,  19.0    42 276C
2020/3/12 11:00:00,R06,1016.5,1018.05, ,1016.48, ,1016.64, ,1018.02,-0.39,8,19,43,6.27,  19.0    43 145D
2020/3/12 11:01:00,R06,1016.5,1018.05, ,1016.48, ,1016.64, ,1018.02,-0.39,8,19,42,5.93,  19.0    42 276C
2020/3/12 11:02:00,R06,1016.5,1018.05, ,1016.48, ,1016.64, ,1018.02,-0.39,8,18.9,42,5.84,  18.9    42 1120
2020/3/12 11:03:00,R06,1016.5,1018.05, ,1016.48, ,1016.64, ,1018.02,-0.39,8,18.9,41,5.49,  18.9    41 4473
2020/3/12 11:04:00,R06,1016.5,1018.05, ,1016.48, ,1016.64, ,1018.02,-0.39,8,18.9,42,5.84,  18.9    42 1120
2020/3/12 11:05:00,R06,1016.5,1018.05, ,1016.48, ,1016.64, ,1018.02,-0.59,8,19.2,43,6.45,  19.2    43 9BFB
2020/3/12 11:06:00,R06,1016.5,1018.05, ,1016.48, ,1016.64, ,1018.02,-0.59,8,19.4,42,6.29,  19.4    42 2801
