LOCALDATE,RVR_1A,MOR_1A,LIGHTS,PAINS,QNH AERODROME,QFE R06,TEMP,RH,DEWPOINT,WS2A,WD2A,CW2A
2019-12-15 08:11:45,3000,8000,10,1023.30,1024.85,1023.28,9.38,87.00,7.33,4.56,91.00,2.48
2019-12-15 08:12:00,3000,8000,10,1023.30,1024.85,1023.28,9.40,87.00,7.36,4.72,91.00,2.57
2019-12-15 08:12:15,3000,8000,10,1023.30,1024.85,1023.28,9.40,86.75,7.32,4.77,91.00,2.60
2019-12-15 08:12:30,3000,8000,10,1023.30,1024.85,1023.28,9.40,86.50,7.28,4.76,92.00,2.66
2019-12-15 08:12:45,3000,8000,10,1023.30,1024.85,1023.28,9.40,86.25,7.23,4.62,93.00,2.65
2019-12-15 08:13:00,3000,8000,10,1023.30,1024.85,1023.28,9.40,86.00,7.19,4.64,92.00,2.59
2019-12-15 08:13:15,3000,8000,10,1023.30,1024.85,1023.28,9.43,86.00,7.21,4.73,92.00,2.64
2019-12-15 08:13:30,3000,8000,10,1023.30,1024.85,1023.28,9.45,86.00,7.24,4.75,93.00,2.72
2019-12-15 08:13:45,3000,8000,10,1023.30,1024.85,1023.28,9.47,86.00,7.27,4.68,94.00,2.75
2019-12-15 08:14:00,3000,8000,10,1023.30,1024.85,1023.28,9.50,86.00,7.29,4.58,94.00,2.69
2019-12-15 08:14:15,3000,8000,10,1023.30,1024.85,1023.28,9.50,86.00,7.29,4.48,95.00,2.70
2019-12-15 08:14:30,3000,8000,10,1023.30,1024.85,1023.28,9.50,86.00,7.29,4.47,94.00,2.63
2019-12-15 08:14:45,3000,8000,10,1023.30,1024.85,1023.28,9.50,86.00,7.29,4.53,94.00,2.66
2019-12-15 08:15:00,3000,8000,10,1023.30,1024.85,1023.28,9.50,86.00,7.29,4.45,94.00,2.61
2019-12-15 08:15:15,3000,8000,10,1023.30,1024.85,1023.28,9.50,85.75,7.25,4.38,93.00,2.51
2019-12-15 08:15:30,3000,8000,10,1023.30,1024.85,1023.28,9.50,85.50,7.21,4.32,93.00,2.47
2019-12-15 08:15:45,3000,8000,10,1023.30,1024.85,1023.28,9.50,85.25,7.16,4.22,92.00,2.36
2019-12-15 08:16:00,3000,8000,10,1023.30,1024.85,1023.28,9.50,85.00,7.12,4.15,92.00,2.32
2019-12-15 08:16:15,3000,8000,10,1023.30,1024.85,1023.28,9.53,85.00,7.14,4.25,91.00,2.31
2019-12-15 08:16:30,3000,8000,10,1023.30,1024.85,1023.28,9.55,85.00,7.17,4.32,91.00,2.35
2019-12-15 08:16:45,3000,8000,10,1023.30,1024.85,1023.28,9.57,85.00,7.20,4.30,92.00,2.41
2019-12-15 08:17:00,3000,8000,10,1023.30,1024.85,1023.28,9.60,85.00,7.22,4.30,92.00,2.40
2019-12-15 08:17:15,3000,8000,10,1023.30,1024.85,1023.28,9.60,85.00,7.22,4.30,92.00,2.40
2019-12-15 08:17:30,3000,8000,10,1023.30,1024.85,1023.28,9.60,85.00,7.22,4.29,91.00,2.34
2019-12-15 08:17:45,3000,8000,10,1023.30,1024.85,1023.28,9.60,85.00,7.22,4.31,91.00,2.35
2019-12-15 08:18:00,3000,7000,10,1023.30,1024.85,1023.28,9.60,85.00,7.22,4.34,92.00,2.43
2019-12-15 08:18:15,3000,7000,10,1023.30,1024.85,1023.28,9.62,85.00,7.25,4.21,92.00,2.35
2019-12-15 08:18:30,3000,7000,10,1023.30,1024.85,1023.28,9.65,85.00,7.27,4.04,93.00,2.31
2019-12-15 08:18:45,3000,7000,10,1023.30,1024.85,1023.28,9.67,85.00,7.29,3.95,92.00,2.21
2019-12-15 08:19:00,3000,7000,10,1023.30,1024.85,1023.28,9.70,85.00,7.32,3.94,93.00,2.26
2019-12-15 08:19:15,3000,7000,10,1023.30,1024.85,1023.28,9.70,85.00,7.32,3.98,93.00,2.28
2019-12-15 08:19:30,3000,7000,10,1023.30,1024.85,1023.28,9.70,85.00,7.32,3.96,93.00,2.27
2019-12-15 08:19:45,3000,8000,10,1023.30,1024.85,1023.28,9.70,85.00,7.32,4.02,94.00,2.36
2019-12-15 08:20:00,3000,8000,10,1023.30,1024.85,1023.28,9.70,85.00,7.32,4.04,94.00,2.38
2019-12-15 08:20:15,3000,8000,10,1023.30,1024.85,1023.28,9.72,85.00,7.35,4.01,93.00,2.30
2019-12-15 08:20:30,3000,8000,10,1023.30,1024.85,1023.28,9.75,85.00,7.37,4.03,92.00,2.25
2019-12-15 08:20:45,3000,8000,10,1023.30,1024.85,1023.28,9.78,85.00,7.39,4.13,92.00,2.31
2019-12-15 08:21:00,3000,8000,10,1023.30,1024.85,1023.28,9.80,85.00,7.42,4.14,92.00,2.31
2019-12-15 08:21:15,3000,8000,10,1023.30,1024.85,1023.28,9.80,84.75,7.38,4.11,92.00,2.30
2019-12-15 08:21:30,3000,8000,10,1023.30,1024.85,1023.28,9.80,84.50,7.33,4.20,92.00,2.35
2019-12-15 08:21:45,3000,8000,10,1023.30,1024.85,1023.28,9.80,84.25,7.29,4.23,92.00,2.37
2019-12-15 08:22:00,3000,8000,10,1023.30,1024.85,1023.28,9.80,84.00,7.24,4.23,91.00,2.30
2019-12-15 08:22:15,3000,8000,10,1023.30,1024.85,1023.28,9.83,84.00,7.27,4.28,91.00,2.33
2019-12-15 08:22:30,3000,8000,10,1023.30,1024.85,1023.28,9.85,84.00,7.29,4.33,92.00,2.42
2019-12-15 08:22:45,3000,8000,10,1023.30,1024.85,1023.28,9.88,84.00,7.31,4.19,93.00,2.40
2019-12-15 08:23:00,3000,8000,10,1023.30,1024.85,1023.28,9.90,84.00,7.34,4.08,91.00,2.22
2019-12-15 08:23:15,3000,8000,10,1023.30,1024.85,1023.28,9.90,84.00,7.34,4.09,91.00,2.23
2019-12-15 08:23:30,3000,8000,10,1023.30,1024.85,1023.28,9.90,84.00,7.34,4.17,92.00,2.33
2019-12-15 08:23:45,3000,8000,10,1023.30,1024.85,1023.28,9.90,84.00,7.34,4.26,93.00,2.44
2019-12-15 08:24:00,3000,8000,10,1023.30,1024.85,1023.28,9.90,84.00,7.34,4.38,95.00,2.63
2019-12-15 08:24:15,3000,8000,10,1023.30,1024.85,1023.28,9.88,84.25,7.36,4.38,97.00,2.75
2019-12-15 08:24:30,3000,8000,10,1023.30,1024.85,1023.28,9.85,84.50,7.38,4.37,99.00,2.86
2019-12-15 08:24:45,3000,8000,10,1023.30,1024.85,1023.28,9.83,84.75,7.40,4.43,99.00,2.91
2019-12-15 08:25:00,3000,8000,10,1023.30,1024.85,1023.28,9.80,85.00,7.42,4.47,100.00,2.99
2019-12-15 08:25:15,3000,8000,10,1023.30,1024.85,1023.28,9.80,84.75,7.38,4.35,101.00,2.97
2019-12-15 08:25:30,3000,8000,10,1023.30,1024.85,1023.28,9.80,84.50,7.33,4.15,100.00,2.78
2019-12-15 08:25:45,3000,8000,10,1023.30,1024.85,1023.28,9.80,84.25,7.29,3.93,99.00,2.58
2019-12-15 08:26:00,3000,8000,10,1023.30,1024.85,1023.28,9.80,84.00,7.24,3.82,98.00,2.46
2019-12-15 08:26:15,3000,7000,10,1023.30,1024.85,1023.28,9.80,84.00,7.24,3.85,98.00,2.48
2019-12-15 08:26:30,3000,7000,10,1023.30,1024.85,1023.28,9.80,84.00,7.24,3.83,96.00,2.36
2019-12-15 08:26:45,3000,7000,10,1023.30,1024.85,1023.28,9.80,84.00,7.24,3.77,95.00,2.27
2019-12-15 08:27:00,3000,7000,10,1023.30,1024.85,1023.28,9.80,84.00,7.24,3.82,94.00,2.25
2019-12-15 08:27:15,3000,7000,10,1023.30,1024.85,1023.28,9.80,84.00,7.24,3.92,94.00,2.30
2019-12-15 08:27:30,3000,7000,10,1023.30,1024.85,1023.28,9.80,84.00,7.24,3.96,94.00,2.33
2019-12-15 08:27:45,3000,7000,10,1023.30,1024.85,1023.28,9.80,84.00,7.24,4.05,95.00,2.44
2019-12-15 08:28:00,3000,7000,10,1023.30,1024.85,1023.28,9.80,84.00,7.24,4.00,94.00,2.35
2019-12-15 08:28:15,3000,7000,10,1023.30,1024.85,1023.28,9.83,84.25,7.31,4.06,93.00,2.33
2019-12-15 08:28:30,3000,7000,10,1023.30,1024.85,1023.28,9.85,84.50,7.38,4.19,92.00,2.34
2019-12-15 08:28:45,3000,7000,10,1023.30,1024.85,1023.28,9.88,84.75,7.44,4.39,91.00,2.39
2019-12-15 08:29:00,3000,7000,10,1023.30,1024.85,1023.28,9.90,85.00,7.51,4.45,91.00,2.43
2019-12-15 08:29:15,3000,7000,10,1023.27,1024.82,1023.25,9.90,84.75,7.47,4.38,91.00,2.39
2019-12-15 08:29:30,3000,7000,10,1023.25,1024.80,1023.23,9.90,84.50,7.42,4.42,90.00,2.34
2019-12-15 08:29:45,3000,7000,10,1023.23,1024.78,1023.20,9.90,84.25,7.38,4.51,89.00,2.32
2019-12-15 08:30:00,3000,7000,10,1023.20,1024.75,1023.18,9.90,84.00,7.34,4.55,89.00,2.34
2019-12-15 08:30:15,3000,7000,10,1023.23,1024.78,1023.20,9.93,84.00,7.37,4.48,89.00,2.31
2019-12-15 08:30:30,3000,7000,10,1023.25,1024.80,1023.23,9.95,84.00,7.39,4.41,90.00,2.34
2019-12-15 08:30:45,3000,7000,10,1023.27,1024.82,1023.25,9.97,84.00,7.42,4.37,90.00,2.31
2019-12-15 08:31:00,3000,7000,10,1023.30,1024.85,1023.28,10.00,84.00,7.44,4.34,90.00,2.30
2019-12-15 08:31:15,3000,7000,10,1023.30,1024.85,1023.28,10.00,84.00,7.44,4.52,91.00,2.46
2019-12-15 08:31:30,3000,7000,10,1023.30,1024.85,1023.28,10.00,84.00,7.44,4.61,90.00,2.44
2019-12-15 08:31:45,3000,7000,10,1023.30,1024.85,1023.28,10.00,84.00,7.44,4.61,91.00,2.51
2019-12-15 08:32:00,3000,7000,10,1023.30,1024.85,1023.28,10.00,84.00,7.44,4.63,91.00,2.52
2019-12-15 08:32:15,3000,7000,10,1023.30,1024.85,1023.28,10.03,84.00,7.46,4.53,92.00,2.53
2019-12-15 08:32:30,3000,7000,10,1023.30,1024.85,1023.28,10.05,84.00,7.49,4.40,93.00,2.53
2019-12-15 08:32:45,3000,7000,10,1023.30,1024.85,1023.28,10.07,84.00,7.52,4.34,94.00,2.55
2019-12-15 08:33:00,3000,8000,10,1023.30,1024.85,1023.28,10.10,84.00,7.54,4.27,95.00,2.57
2019-12-15 08:33:15,3000,8000,10,1023.30,1024.85,1023.28,10.10,83.75,7.50,4.01,94.00,2.36
2019-12-15 08:33:30,3000,8000,10,1023.30,1024.85,1023.28,10.10,83.50,7.45,3.86,95.00,2.32
2019-12-15 08:33:45,3000,8000,10,1023.30,1024.85,1023.28,10.10,83.25,7.41,3.74,95.00,2.25
2019-12-15 08:34:00,3000,8000,10,1023.30,1024.85,1023.28,10.10,83.00,7.36,3.63,95.00,2.18
2019-12-15 08:34:15,3000,8000,10,1023.30,1024.85,1023.28,10.10,83.00,7.36,3.64,94.00,2.14
2019-12-15 08:34:30,3000,8000,10,1023.30,1024.85,1023.28,10.10,83.00,7.36,3.63,93.00,2.08
2019-12-15 08:34:45,3000,8000,10,1023.30,1024.85,1023.28,10.10,83.00,7.36,3.62,92.00,2.02
2019-12-15 08:35:00,3000,8000,10,1023.30,1024.85,1023.28,10.10,83.00,7.36,3.62,93.00,2.08
2019-12-15 08:35:15,3000,8000,10,1023.30,1024.85,1023.28,10.10,83.00,7.36,3.73,93.00,2.14
2019-12-15 08:35:30,3000,8000,10,1023.30,1024.85,1023.28,10.10,83.00,7.36,3.83,93.00,2.20
2019-12-15 08:35:45,3000,8000,10,1023.30,1024.85,1023.28,10.10,83.00,7.36,3.87,92.00,2.17
2019-12-15 08:36:00,3000,8000,10,1023.30,1024.85,1023.28,10.10,83.00,7.36,3.88,92.00,2.17
2019-12-15 08:36:15,3000,8000,10,1023.30,1024.85,1023.28,10.12,83.25,7.43,3.91,91.00,2.13
2019-12-15 08:36:30,3000,7000,10,1023.30,1024.85,1023.28,10.15,83.50,7.50,4.06,91.00,2.21
2019-12-15 08:36:45,3000,7000,10,1023.30,1024.85,1023.28,10.17,83.75,7.57,4.10,91.00,2.23
2019-12-15 08:37:00,3000,7000,10,1023.30,1024.85,1023.28,10.20,84.00,7.64,4.09,91.00,2.23
2019-12-15 08:37:15,3000,7000,10,1023.30,1024.85,1023.28,10.22,84.00,7.66,4.12,91.00,2.24
2019-12-15 08:37:30,3000,7000,10,1023.30,1024.85,1023.28,10.25,84.00,7.69,4.03,92.00,2.25
2019-12-15 08:37:45,3000,7000,10,1023.30,1024.85,1023.28,10.28,84.00,7.71,3.94,91.00,2.15
2019-12-15 08:38:00,3000,7000,10,1023.30,1024.85,1023.28,10.30,84.00,7.73,3.96,93.00,2.27
2019-12-15 08:38:15,3000,7000,10,1023.30,1024.85,1023.28,10.30,83.75,7.69,4.00,93.00,2.29
2019-12-15 08:38:30,3000,7000,10,1023.30,1024.85,1023.28,10.30,83.50,7.64,4.02,93.00,2.30
2019-12-15 08:38:45,3000,8000,10,1023.30,1024.85,1023.28,10.30,83.25,7.60,4.03,93.00,2.31
2019-12-15 08:39:00,3000,8000,10,1023.30,1024.85,1023.28,10.30,83.00,7.56,4.06,93.00,2.33
2019-12-15 08:39:15,3000,8000,10,1023.30,1024.85,1023.28,10.33,83.25,7.63,3.99,92.00,2.23
2019-12-15 08:39:30,3000,8000,10,1023.30,1024.85,1023.28,10.35,83.50,7.70,3.98,92.00,2.22
2019-12-15 08:39:45,3000,8000,10,1023.30,1024.85,1023.28,10.38,83.75,7.76,4.12,92.00,2.30
2019-12-15 08:40:00,3000,8000,10,1023.30,1024.85,1023.28,10.40,84.00,7.83,4.17,92.00,2.33
2019-12-15 08:40:15,3000,8000,10,1023.30,1024.85,1023.28,10.38,83.75,7.76,4.09,92.00,2.29
2019-12-15 08:40:30,3000,8000,10,1023.30,1024.85,1023.28,10.35,83.50,7.70,3.94,93.00,2.26
2019-12-15 08:40:45,3000,8000,10,1023.30,1024.85,1023.28,10.33,83.25,7.63,3.87,92.00,2.17
2019-12-15 08:41:00,3000,7000,10,1023.30,1024.85,1023.28,10.30,83.00,7.56,3.92,90.00,2.07
2019-12-15 08:41:15,3000,7000,10,1023.30,1024.85,1023.28,10.30,82.75,7.51,3.97,90.00,2.11
2019-12-15 08:41:30,3000,7000,10,1023.30,1024.85,1023.28,10.30,82.50,7.47,4.05,90.00,2.15
2019-12-15 08:41:45,3000,7000,10,1023.30,1024.85,1023.28,10.30,82.25,7.42,4.03,90.00,2.14
2019-12-15 08:42:00,3000,7000,10,1023.30,1024.85,1023.28,10.30,82.00,7.38,3.98,89.00,2.05
2019-12-15 08:42:15,3000,7000,10,1023.30,1024.85,1023.28,10.33,82.25,7.45,4.03,88.00,2.02
2019-12-15 08:42:30,3000,7000,10,1023.30,1024.85,1023.28,10.35,82.50,7.52,4.18,88.00,2.09
2019-12-15 08:42:45,3000,7000,10,1023.30,1024.85,1023.28,10.38,82.75,7.59,4.37,90.00,2.31
2019-12-15 08:43:00,3000,7000,10,1023.30,1024.85,1023.28,10.40,83.00,7.66,4.42,91.00,2.40
2019-12-15 08:43:15,3000,7000,10,1023.30,1024.85,1023.28,10.43,83.00,7.69,4.43,91.00,2.41
2019-12-15 08:43:30,3000,7000,10,1023.30,1024.85,1023.28,10.45,83.00,7.71,4.44,92.00,2.48
2019-12-15 08:43:45,3000,7000,10,1023.30,1024.85,1023.28,10.47,83.00,7.73,4.33,94.00,2.54
2019-12-15 08:44:00,3000,7000,10,1023.30,1024.85,1023.28,10.50,83.00,7.76,4.27,95.00,2.57
2019-12-15 08:44:15,3000,7000,10,1023.30,1024.85,1023.28,10.53,82.75,7.74,4.21,96.00,2.59
2019-12-15 08:44:30,3000,7000,10,1023.30,1024.85,1023.28,10.55,82.50,7.72,4.05,95.00,2.44
2019-12-15 08:44:45,3000,7000,10,1023.30,1024.85,1023.28,10.57,82.25,7.70,3.83,94.00,2.25
2019-12-15 08:45:00,3000,7000,10,1023.30,1024.85,1023.28,10.60,82.00,7.68,3.73,93.00,2.14
2019-12-15 08:45:15,3000,7000,10,1023.30,1024.85,1023.28,10.60,82.00,7.68,3.70,92.00,2.07
2019-12-15 08:45:30,3000,7000,10,1023.30,1024.85,1023.28,10.60,82.00,7.68,3.65,91.00,1.99
2019-12-15 08:45:45,3000,7000,10,1023.30,1024.85,1023.28,10.60,82.00,7.68,3.74,89.00,1.93
2019-12-15 08:46:00,3000,7000,10,1023.30,1024.85,1023.28,10.60,82.00,7.68,3.80,87.00,1.84
2019-12-15 08:46:15,3000,7000,10,1023.30,1024.85,1023.28,10.60,82.00,7.68,3.81,88.00,1.90
2019-12-15 08:46:30,3000,7000,10,1023.30,1024.85,1023.28,10.60,82.00,7.68,3.84,88.00,1.92
2019-12-15 08:46:45,3000,7000,10,1023.30,1024.85,1023.28,10.60,82.00,7.68,3.95,89.00,2.04
2019-12-15 08:47:00,3000,7000,10,1023.30,1024.85,1023.28,10.60,82.00,7.68,4.00,91.00,2.18
2019-12-15 08:47:15,3000,7000,10,1023.30,1024.85,1023.28,10.60,82.00,7.68,4.04,91.00,2.20
2019-12-15 08:47:30,3000,7000,10,1023.30,1024.85,1023.28,10.60,82.00,7.68,4.17,92.00,2.33
2019-12-15 08:47:45,3000,7000,10,1023.30,1024.85,1023.28,10.60,82.00,7.68,4.29,92.00,2.40
2019-12-15 08:48:00,3000,7000,10,1023.30,1024.85,1023.28,10.60,82.00,7.68,4.39,94.00,2.58
2019-12-15 08:48:15,3000,7000,10,1023.27,1024.82,1023.25,10.62,82.00,7.71,4.42,93.00,2.53
2019-12-15 08:48:30,3000,7000,10,1023.25,1024.80,1023.23,10.65,82.00,7.73,4.49,94.00,2.64
2019-12-15 08:48:45,3000,7000,10,1023.23,1024.78,1023.20,10.67,82.00,7.75,4.48,94.00,2.63
2019-12-15 08:49:00,3000,7000,10,1023.20,1024.75,1023.18,10.70,82.00,7.78,4.43,95.00,2.66
2019-12-15 08:49:15,3000,7000,10,1023.20,1024.75,1023.18,10.70,81.75,7.74,4.34,95.00,2.61
2019-12-15 08:49:30,3000,7000,10,1023.20,1024.75,1023.18,10.70,81.50,7.69,4.24,94.00,2.49
2019-12-15 08:49:45,3000,7000,10,1023.20,1024.75,1023.18,10.70,81.25,7.64,4.07,94.00,2.39
2019-12-15 08:50:00,3000,7000,10,1023.20,1024.75,1023.18,10.70,81.00,7.60,3.96,95.00,2.38
2019-12-15 08:50:15,3000,7000,10,1023.20,1024.75,1023.18,10.72,81.00,7.62,3.87,96.00,2.38
2019-12-15 08:50:30,3000,7000,10,1023.20,1024.75,1023.18,10.75,81.00,7.64,3.76,97.00,2.36
2019-12-15 08:50:45,3000,7000,10,1023.20,1024.75,1023.18,10.78,81.00,7.67,3.60,97.00,2.26
2019-12-15 08:51:00,3000,7000,10,1023.20,1024.75,1023.18,10.80,81.00,7.69,3.48,97.00,2.19
2019-12-15 08:51:15,3000,7000,10,1023.20,1024.75,1023.18,10.80,81.25,7.74,3.31,97.00,2.09
2019-12-15 08:51:30,3000,7000,10,1023.20,1024.75,1023.18,10.80,81.50,7.78,3.14,98.00,2.02
2019-12-15 08:51:45,3000,7000,10,1023.20,1024.75,1023.18,10.80,81.75,7.83,3.16,99.00,2.07
2019-12-15 08:52:00,3000,7000,10,1023.20,1024.75,1023.18,10.80,82.00,7.87,3.25,98.00,2.09
2019-12-15 08:52:15,3000,7000,10,1023.20,1024.75,1023.18,10.80,81.75,7.83,3.30,97.00,2.08
2019-12-15 08:52:30,3000,7000,10,1023.20,1024.75,1023.18,10.80,81.50,7.78,3.40,95.00,2.04
2019-12-15 08:52:45,3000,7000,10,1023.20,1024.75,1023.18,10.80,81.25,7.74,3.55,94.00,2.08
2019-12-15 08:53:00,3000,7000,10,1023.20,1024.75,1023.18,10.80,81.00,7.69,3.80,93.00,2.18
2019-12-15 08:53:15,3000,7000,10,1023.20,1024.75,1023.18,10.80,81.00,7.69,4.06,93.00,2.33
2019-12-15 08:53:30,3000,7000,10,1023.20,1024.75,1023.18,10.80,81.00,7.69,4.20,94.00,2.47
2019-12-15 08:53:45,3000,7000,10,1023.20,1024.75,1023.18,10.80,81.00,7.69,4.08,96.00,2.51
2019-12-15 08:54:00,3000,7000,10,1023.20,1024.75,1023.18,10.80,81.00,7.69,3.98,96.00,2.45
2019-12-15 08:54:15,3000,7000,10,1023.23,1024.78,1023.20,10.83,81.00,7.71,4.00,97.00,2.51
2019-12-15 08:54:30,3000,7000,10,1023.25,1024.80,1023.23,10.85,81.00,7.74,3.93,99.00,2.58
2019-12-15 08:54:45,3000,7000,10,1023.27,1024.82,1023.25,10.88,81.00,7.77,3.85,101.00,2.62
2019-12-15 08:55:00,3000,7000,10,1023.30,1024.85,1023.28,10.90,81.00,7.79,3.70,103.00,2.62
2019-12-15 08:55:15,3000,7000,10,1023.30,1024.85,1023.28,10.90,81.00,7.79,3.65,105.00,2.67
2019-12-15 08:55:30,3000,7000,10,1023.30,1024.85,1023.28,10.90,81.00,7.79,3.65,107.00,2.75
2019-12-15 08:55:45,3000,7000,10,1023.30,1024.85,1023.28,10.90,81.00,7.79,3.78,106.00,2.81
2019-12-15 08:56:00,3000,7000,10,1023.30,1024.85,1023.28,10.90,81.00,7.79,3.82,106.00,2.84
2019-12-15 08:56:15,3000,7000,10,1023.27,1024.82,1023.25,10.90,80.75,7.75,3.79,106.00,2.82
2019-12-15 08:56:30,3000,7000,10,1023.25,1024.80,1023.23,10.90,80.50,7.70,3.77,105.00,2.76
2019-12-15 08:56:45,3000,7000,10,1023.23,1024.78,1023.20,10.90,80.25,7.66,3.77,106.00,2.80
2019-12-15 08:57:00,3000,7000,10,1023.20,1024.75,1023.18,10.90,80.00,7.61,3.67,105.00,2.69
2019-12-15 08:57:15,3000,7000,10,1023.23,1024.78,1023.20,10.93,80.25,7.68,3.58,104.00,2.57
